table,file,select,join,insert,update,delete,total_refs
t_pedidolog,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,0,1,0,0,1
t_pedidopreparacion,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,2,3,1,1,1,8
t_pedidopreparacionsector,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,3,1,2,0,2,8
t_pedidotienda,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,8,2,4,0,5,19
t_pediodetalletienda,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,6,4,4,0,5,19
t_planilla,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,1,1,1,0,0,3
t_preciotimbradoproducto,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,4,0,0,0,4
t_preciotimbradoproducto,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,2,0,2,1,1,6
t_prestador,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,2,0,0,0,2
t_prestador,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,1,18,0,0,0,19
t_prestador,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,1,0,0,0,1
t_prestador,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,0,2,1,1,0,4
t_prestador,almacen.sql,0,4,0,0,0,4
t_prestadordireccion,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,1,0,0,0,1
t_prestadordireccion,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,2,0,2,1,1,6
t_proveedor,AtlantesBE-main/AtlantesBE-main/app/functions/ovp.php,0,2,0,0,0,2
t_proveedor,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,1,18,0,0,0,19
t_proveedor,AtlantesBE-main/AtlantesBE-main/app/routes/embarques.php,0,1,0,0,0,1
t_proveedor,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,0,4,1,1,0,6
t_proveedor,almacen.sql,0,4,0,0,0,4
t_proveedorcorreofacturacion,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,2,0,2,1,1,6
t_proveedordireccion,AtlantesBE-main/AtlantesBE-main/app/routes/contabilidad.php,0,1,0,0,0,1
t_proveedordireccion,AtlantesBE-main/AtlantesBE-main/app/routes/entidades.php,2,0,2,1,1,6
t_referencia_salida,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,1,0,0,0,1
t_referenciacolor,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,3,0,0,0,3
t_salida,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,12,25,4,4,0,45
t_salida,almacen.sql,0,1,0,0,0,1
t_salidadetalle,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,5,16,3,4,1,29
t_salidadetalle,almacen.sql,0,1,0,0,0,1
t_salidadetalle_accesorios,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,2,0,1,2,1,6
t_salidadetalle_accesorios_pendiente,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,1,0,2,4,0,7
t_salidadetalleimagen,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,0,1,0,0,1
t_salidadetalleimagen_pendiente,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,0,2,0,0,2
t_solicitante,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_status,AtlantesBE-main/AtlantesBE-main/app/routes/almacenes.php,0,2,0,0,0,2
t_status,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
t_temperatura,AtlantesBE-main/AtlantesBE-main/app/routes/datosmaestro.php,1,0,0,0,0,1
